KEY;PARENT_KEY;ROOT_KEY;TO Stop Key;Successor;Stage Type;Stage Category;Error on Node Instance;Decimal Value;Duration;Means of Transport;Transportation Mode;Transportation Mode Category;Not Relevant for Planning;Relevant for ADR DG Exemption;No ADR Exemption;Planning Block;Execution Block;Predecessor Doc. Block;Predecessor Doc. Block;Shipping Type;MTr from Transportation Proposal;Carrier Party BP GUID;Carrier;SCAC;Airline Code;AWB Prefix;Transportation Mode;Transportation Mode Category;Preferred Equipment Group;Preferred Equipment Type;Plan. and Exec. Org.;Plan. and Exec. Group;Agrmt Prtnr Function;Role Code of Other Agreement Party;Voyage;Airline Code/Flight Number;Vessel;IMO Ship Identification Number;Country/Region Key;Schedule Key;Aircraft Type;Flight Number;Space Allocation Action Code;Space Allocation Advice Code;Origin of Entry;Allotment ID;Successor Category of Stop;Order Relationship;Person Responsible;Planning Status;Organization Interaction Status;Org. Interaction Requested By;Rejection Reason Code;Customs Activity;Business Partner;Invoicing Carrier;SCAC;Stage Invoicing Carrier Level;Agreement;Agreement Item No.;NodeID;NodeID;Bill-To Party;Bill-To Party;External Reference Number;Company Code Paying the Trp. Service;Company Org. Paying the Trp. Service;External Planning Relevance;Maximum Utilization;Maximum Utilization;Maximum Utilization;Maximum Utilization;Maximum Utilization;Driver Assignment Status;Calculated CO₂ Emissions;Calculated CO₂ Emissions UoM;Allocation Method for CO₂ Emissions;Dummy function in length 1;Lenkzeitpause;Data Aging Filter,
005056AB7BFC1FD0AFF7D6AD2815BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2814FA14;005056AB7BFC1FD0AFF7D6AD28155A14;120;;;;1.326.438;00:01;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;51.47;21.75;51.47;0;0;N;0.720919053;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28161A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2815DA14;005056AB7BFC1FD0AFF7D6AD2815FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28163A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28157A14;005056AB7BFC1FD0AFF7D6AD2815DA14;130;;;;5.152.067;00:04;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;48.70;21. Feb;48.70;0;0;N;279.263.498.345.833;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28169A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28165A14;005056AB7BFC1FD0AFF7D6AD28167A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2816BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2815FA14;005056AB7BFC1FD0AFF7D6AD28165A14;140;;;;2.684.447;00:02;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;45.93;20.25;45.93;0;0;N;14.509.436.035;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28171A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2816DA14;005056AB7BFC1FD0AFF7D6AD2816FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28173A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28167A14;005056AB7BFC1FD0AFF7D6AD2816DA14;150;;;;0.899322;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;38.54;17.67;38.54;0;0;N;0.481437044;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28179A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28175A14;005056AB7BFC1FD0AFF7D6AD28177A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2817BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2816FA14;005056AB7BFC1FD0AFF7D6AD28175A14;160;;;;3.223.194;00:02;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;32.08;14.75;32.08;0;0;N;1.706.681.223;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28181A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2817DA14;005056AB7BFC1FD0AFF7D6AD2817FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28183A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28177A14;005056AB7BFC1FD0AFF7D6AD2817DA14;170;;;;175.263.081;02:30;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;27.46;13. Jun;27.46;0;0;N;92.210.288.491.125;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28189A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28185A14;005056AB7BFC1FD0AFF7D6AD28187A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2818BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2817FA14;005056AB7BFC1FD0AFF7D6AD28185A14;180;;;;0;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;23.77;Nov 54;23.77;0;0;N;0;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28191A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2818DA14;005056AB7BFC1FD0AFF7D6AD2818FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD28193A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28187A14;005056AB7BFC1FD0AFF7D6AD2818DA14;190;;;;197.533.317;02:49;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;23. Aug;Okt 73;23. Aug;0;0;N;103.005.394.260.625;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD28199A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28195A14;005056AB7BFC1FD0AFF7D6AD28197A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD2819BA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2818FA14;005056AB7BFC1FD0AFF7D6AD28195A14;200;;;;0.403870;;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;22.62;Okt 60;22.62;0;0;N;0.21050040958333;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD281A1A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2819DA14;005056AB7BFC1FD0AFF7D6AD2819FA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD281A3A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD28197A14;005056AB7BFC1FD0AFF7D6AD2819DA14;210;;;;3.960.029;00:03;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;17.31;Aug 25;17.31;0;0;N;20.453.549.785;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD281A9A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD281A5A14;005056AB7BFC1FD0AFF7D6AD281A7A14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD281ABA14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD2819FA14;005056AB7BFC1FD0AFF7D6AD281A5A14;220;;;;1.313.872;00:01;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;15.69;Jul 92;15.69;0;0;N;0.67773897333333;KG;DIST_WT;;;,
005056AB7BFC1FD0AFF7D6AD281B1A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD281ADA14;005056AB7BFC1FD0AFF7D6AD281AFA14;;;;;0;;;1;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;I;3;;U;;;;;;;;;;0;0;0;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0AFF7D6AD281B3A14;005056AB7BFC1FD0AFF7D6AD280F7A14;005056AB7BFC1FD0AFF7D6AD281A7A14;005056AB7BFC1FD0AFF7D6AD281ADA14;230;;;;5.441.746;00:04;;1;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;0;;;;;;;L;1;;U;;;;;;;;;;0;0;0;;;;;0;;12.00;Mai 96;12.00;0;0;N;278.572.047.316.667;KG;DIST_WT;;;,
