KEY;PARENT_KEY;Stop;Stop Category;Location;Location;UN Location Code;IATA: Location;Location;TO Stop Key;Stop with Sub-Stops;Type of Substop;Error on Node Instance;Acceptable Start at Stop;Requested Start at Stop;Requested End at Stop;Acceptable End at Stop;Origin of Entry;Transportation Planning Date;Role of the Stop;Stop Origin;Stop Position in Transp. Stop Sequence;Current Stop of Execution;Automatic Planning;Timestamp for Stop Selection;Appointment Start Date/Time;Appointment End Date/Time;Confirmed Start;Confirmed End;Preparation Start Date/Time at Stop;Preparation End Date/Time at Stop;Finalization Start Date/Time at Stop;Finalization End Date/Time at Stop;Calculation Base for PU/Deliv. Windows;Fixing of Stops;Handling Execution Status at Stop Level;Aggregated Loading/Unloading Start;Aggregated Loading/Unloading End;Aggregated Coupling/Uncoupling Start;Aggregated Coupling/Uncoupling End;Cargo Cut-Off Date/Time;Document Cut-Off Date/Time;Cust. Doc. Cut-Off Date/Time;DG Doc. Cut-Off Date/Time;Origin of Entry;VGM Cut-Off Date/Time Given by Carrier;Port of Entry;Port of Exit;EWM Integration Relevance;Transm.-to-EWM Status on Stop Level;Unload/Load Plan Status on Stop Level;Next Warehouse-Relevant Stop;Loading/Unloading Point;Loading/Unloading Point UUID;Stop Relevance for Advanced SR;Stop Origin;Warehouse Category;Warehouse Number;Warehouse Door;Warehouse Door Status;Execution Block;Predecessor Doc. Block;TO Stop Key;TO Item Key;Transportation Planning Date;Transportation Planning Date;Duration;Integer Value;Key of Handling Resource;Capacity Consumption;Stop Assignment Category;Multi-Stop Assignment;Location Key in Voyage;Schedule Reference Information;Referenced Data Status;Departure Key in FO Schedule;Schedule Location Key;Referenced Data Status;Schedule Key;TR Stop;Acceptable Start at Stop;Requested Start at Stop;Requested End at Stop;Acceptable End at Stop;PUDL Window Rule;Dummy function in length 1;Transportation Zone;Boolean;Stop Typ;Home Location;Data Aging Filter,
005056AB7BFC1FD0AFF7CF88AE473A14;005056AB7BFC1FD0AFF7CF88AD369A14;20;O;SP_HBAB;SP_HBAB;;;;00000000000000000000000000000000;;;;2,02511E+13;2,02511E+13;2,02511E+13;0;;2,02511E+13;FP;T;F;N;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;L;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD2885DA14;005056AB7BFC1FD0AFF7D6AD2885BA14;2,02511E+13;2,02511E+13;;14;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;2,02511E+13;0;0;3;;;;;;,
005056AB7BFC1FD0AFF7CF88AE475A14;005056AB7BFC1FD0AFF7CF88AD369A14;10;I;504;504;;;;00000000000000000000000000000000;;;;0;2,02511E+13;2,02511E+13;2,02511E+13;;2,02511E+13;FD;T;L;;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;U;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD288B7A14;005056AB7BFC1FD0AFF7D6AD2885BA14;2,02511E+13;2,02511E+13;;1;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;0;2,02511E+13;0;3;;BREMEN 1;;;;,
005056AB7BFC1FD0AFF7CF88AE47BA14;005056AB7BFC1FD0AFF7CF88AD36FA14;20;O;SP_HBAB;SP_HBAB;;;;00000000000000000000000000000000;;;;2,02511E+13;2,02511E+13;2,02511E+13;0;;2,02511E+13;FP;T;F;N;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;L;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD28F87A14;005056AB7BFC1FD0AFF7D6AD28F85A14;2,02511E+13;2,02511E+13;;16;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;2,02511E+13;0;0;3;;;;;;,
005056AB7BFC1FD0AFF7CF88AE47DA14;005056AB7BFC1FD0AFF7CF88AD36FA14;10;I;505;505;;;;00000000000000000000000000000000;;;;0;2,02511E+13;2,02511E+13;2,02511E+13;;2,02511E+13;FD;T;L;;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;U;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD28FE1A14;005056AB7BFC1FD0AFF7D6AD28F85A14;2,02511E+13;2,02511E+13;;1;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;0;2,02511E+13;0;3;;BREMEN 1;;;;,
005056AB7BFC1FD0AFF7CF88AE483A14;005056AB7BFC1FD0AFF7CF88AD37BA14;20;O;SP_HBAB;SP_HBAB;;;;00000000000000000000000000000000;;;;2,02511E+13;2,02511E+13;2,02511E+13;0;;2,02511E+13;FP;T;F;N;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;L;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD28CF9A14;005056AB7BFC1FD0AFF7D6AD28CF7A14;2,02511E+13;2,02511E+13;;5;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;2,02511E+13;0;0;3;;;;;;,
005056AB7BFC1FD0AFF7CF88AE485A14;005056AB7BFC1FD0AFF7CF88AD37BA14;10;I;506;506;;;;00000000000000000000000000000000;;;;0;2,02511E+13;2,02511E+13;2,02511E+13;;2,02511E+13;FD;T;L;;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;U;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD28D9BA14;005056AB7BFC1FD0AFF7D6AD28CF7A14;2,02511E+13;2,02511E+13;;1;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;0;2,02511E+13;0;3;;FRANKFURT STADT;;;;,
005056AB7BFC1FD0AFF7CF88AE48BA14;005056AB7BFC1FD0AFF7CF88AD385A14;20;O;SP_HBAB;SP_HBAB;;;;00000000000000000000000000000000;;;;2,02511E+13;2,02511E+13;2,02511E+13;0;;2,02511E+13;FP;T;F;N;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;L;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD287A3A14;005056AB7BFC1FD0AFF7D6AD287A1A14;2,02511E+13;2,02511E+13;;22;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;2,02511E+13;0;0;3;;;;;;,
005056AB7BFC1FD0AFF7CF88AE48DA14;005056AB7BFC1FD0AFF7CF88AD385A14;10;I;507;507;;;;00000000000000000000000000000000;;;;0;2,02511E+13;2,02511E+13;2,02511E+13;;2,02511E+13;FD;T;L;;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;U;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD287A5A14;005056AB7BFC1FD0AFF7D6AD287A1A14;2,02511E+13;2,02511E+13;;1;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;0;2,02511E+13;0;3;;BREMEN;;;;,
005056AB7BFC1FD0AFF7CF88AE493A14;005056AB7BFC1FD0AFF7CF88AD389A14;20;O;SP_HBAB;SP_HBAB;;;;00000000000000000000000000000000;;;;2,02511E+13;2,02511E+13;2,02511E+13;0;;2,02511E+13;FP;T;F;N;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;L;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD281DDA14;005056AB7BFC1FD0AFF7D6AD281DBA14;2,02511E+13;2,02511E+13;;18;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;2,02511E+13;0;0;3;;;;;;,
005056AB7BFC1FD0AFF7CF88AE495A14;005056AB7BFC1FD0AFF7CF88AD389A14;10;I;508;508;;;;00000000000000000000000000000000;;;;0;2,02511E+13;2,02511E+13;2,02511E+13;;2,02511E+13;FD;T;L;;N;2,02511E+13;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;;0;;;;;00;U;;;;;;;;;;;005056AB7BFC1FD0AFF7D6AD28227A14;005056AB7BFC1FD0AFF7D6AD281DBA14;2,02511E+13;2,02511E+13;;1;;0;L;;00000000000000000000000000000000;;X;00000000000000000000000000000000;00000000000000000000000000000000;;00000000000000000000000000000000;X;0;0;2,02511E+13;0;3;;BREMEN 1;;;;,
