"NodeID";"NodeID";"NodeID";"TO Stop Key";"Successor";"Stage Type";"Stage Category";"Error on Node Instance";"Decimal Value";"Duration";"Means of Transport";"Transportation Mode";"Transportation Mode Category";"Not Relevant for Planning";"Relevant for ADR DG Exemption";"No ADR Exemption";"Planning Block";"Execution Block";"Predecessor Doc. Block";"Predecessor Doc. Block";"Shipping Type";"MTr from Transportation Proposal";"Carrier Party BP GUID";"Carrier";"SCAC";"Airline Code";"AWB Prefix";"Transportation Mode";"Transportation Mode Category";"Preferred Equipment Group";"Preferred Equipment Type";"Plan. and Exec. Org.";"Plan. and Exec. Group";"Agrmt Prtnr Function";"Role Code of Other Agreement Party";"Voyage";"Airline Code/Flight Number";"Vessel";"IMO Ship Identification Number";"Country/Region Key";"Schedule Key";"Aircraft Type";"Flight Number";"Space Allocation Action Code";"Space Allocation Advice Code";"Origin of Entry";"Allotment ID";"Successor Category of Stop";"Order Relationship";"Person Responsible";"Planning Status";"Organization Interaction Status";"Org. Interaction Requested By";"Rejection Reason Code";"Customs Activity";"Business Partner";"Invoicing Carrier";"SCAC";"Stage Invoicing Carrier Level";"Agreement";"Agreement Item No.";"NodeID";"NodeID";"Bill-To Party";"Bill-To Party";"External Reference Number";"Company Code Paying the Trp. Service";"Company Org. Paying the Trp. Service";"External Planning Relevance";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Driver Assignment Status";"Calculated CO₂ Emissions";"Calculated CO₂ Emissions UoM";"Allocation Method for CO₂ Emissions";"Dummy function in length 1";"Lenkzeitpause";"Data Aging Filter";
"005056AB7BFC1FD0AFCFBD935F32BA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F327A14";"005056AB7BFC1FD0AFCFBD935F329A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F32DA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F321A14";"005056AB7BFC1FD0AFCFBD935F327A14";"110";"";"";"";"1.313872";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"94.00";"38.95";"94.00";"0";"0";"N";"0.30661623410526";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F333A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F32FA14";"005056AB7BFC1FD0AFCFBD935F331A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F335A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F329A14";"005056AB7BFC1FD0AFCFBD935F32FA14";"120";"";"";"";"4.093462";"0:02";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"87.00";"37.54";"87.00";"0";"0";"N";"0.95183763768421";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F33BA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F337A14";"005056AB7BFC1FD0AFCFBD935F339A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F33DA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F331A14";"005056AB7BFC1FD0AFCFBD935F337A14";"130";"";"";"";"0.403870";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"85.00";"37.02";"85.00";"0";"0";"N";"0.09378286526316";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F343A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F33FA14";"005056AB7BFC1FD0AFCFBD935F341A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F345A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F339A14";"005056AB7BFC1FD0AFCFBD935F33FA14";"140";"";"";"";"4.838375";"0:03";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"62.00";"27.11";"62.00";"0";"0";"N";"1.09474600657895";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F34BA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F347A14";"005056AB7BFC1FD0AFCFBD935F349A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F34DA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F341A14";"005056AB7BFC1FD0AFCFBD935F347A14";"150";"";"";"";"1.427575";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"41.00";"17.19";"41.00";"0";"0";"N";"0.31451731315789";"KG";"DIST_WT";"";"";"";
