"NodeID";"NodeID";"Stop";"Stop Category";"Location";"Location";"UN Location Code";"IATA: Location";"Location";"TO Stop Key";"Stop with Sub-Stops";"Type of Substop";"Error on Node Instance";"Acceptable Start at Stop";"Requested Start at Stop";"Requested End at Stop";"Acceptable End at Stop";"Origin of Entry";"Transportation Planning Date";"Role of the Stop";"Stop Origin";"Stop Position in Transp. Stop Sequence";"Current Stop of Execution";"Automatic Planning";"Timestamp for Stop Selection";"Appointment Start Date/Time";"Appointment End Date/Time";"Confirmed Start";"Confirmed End";"Preparation Start Date/Time at Stop";"Preparation End Date/Time at Stop";"Finalization Start Date/Time at Stop";"Finalization End Date/Time at Stop";"Calculation Base for PU/Deliv. Windows";"Fixing of Stops";"Handling Execution Status at Stop Level";"Aggregated Loading/Unloading Start";"Aggregated Loading/Unloading End";"Aggregated Coupling/Uncoupling Start";"Aggregated Coupling/Uncoupling End";"Cargo Cut-Off Date/Time";"Document Cut-Off Date/Time";"Cust. Doc. Cut-Off Date/Time";"DG Doc. Cut-Off Date/Time";"Origin of Entry";"VGM Cut-Off Date/Time Given by Carrier";"Port of Entry";"Port of Exit";"EWM Integration Relevance";"Transm.-to-EWM Status on Stop Level";"Unload/Load Plan Status on Stop Level";"Next Warehouse-Relevant Stop";"Loading/Unloading Point";"Loading/Unloading Point UUID";"Stop Relevance for Advanced SR";"Stop Origin";"Warehouse Category";"Warehouse Number";"Warehouse Door";"Warehouse Door Status";"Execution Block";"Predecessor Doc. Block";"TO Stop Key";"TO Item Key";"Transportation Planning Date";"Transportation Planning Date";"Duration";"Integer Value";"Key of Handling Resource";"Capacity Consumption";"Stop Assignment Category";"Multi-Stop Assignment";"Location Key in Voyage";"Schedule Reference Information";"Referenced Data Status";"Departure Key in FO Schedule";"Schedule Location Key";"Referenced Data Status";"Schedule Key";"TR Stop";"Acceptable Start at Stop";"Requested Start at Stop";"Requested End at Stop";"Acceptable End at Stop";"PUDL Window Rule";"Dummy function in length 1";"Transportation Zone";"Boolean";"Stop Typ";"Home Location";"Data Aging Filter";
"005056AB7BFC1FD0AFCFBD935F321A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"210";"O";"510";"510";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092032";"";"";"I";"";"";"20251110092032";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F327A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"220";"I";"727";"727";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092125";"";"";"I";"";"";"20251110092125";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"20251110092125";"20251110092125";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F329A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"230";"O";"727";"727";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092125";"";"";"I";"";"";"20251110092125";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F32FA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"240";"I";"903";"903";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092409";"";"";"I";"";"";"20251110092409";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"20251110092409";"20251110092409";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F331A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"250";"O";"903";"903";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092409";"";"";"I";"";"";"20251110092409";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F337A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"260";"I";"884";"884";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092425";"";"";"I";"";"";"20251110092425";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"20251110092425";"20251110092425";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F339A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"270";"O";"884";"884";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092425";"";"";"I";"";"";"20251110092425";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F33FA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"280";"I";"861";"861";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092739";"";"";"I";"";"";"20251110092739";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"20251110092739";"20251110092739";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F341A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"290";"O";"861";"861";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092739";"";"";"I";"";"";"20251110092739";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F347A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"300";"I";"815";"815";"";"";"";"00000000000000000000000000000000";"";"";"";"0";"0";"0";"0";"";"20251110092836";"";"";"I";"";"";"20251110092836";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"20251110092836";"20251110092836";"0";"0";"0";"0";"0";"0";"";"0";"";"";"";"";"00";"";"";"";"";"";"";"";"";"";"";"";"00000000000000000000000000000000";"00000000000000000000000000000000";"0";"0";"";"0";"";"0";"";"";"00000000000000000000000000000000";"";"X";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"00000000000000000000000000000000";"";"0";"0";"0";"0";"";"";"";"";"";"";"";
